,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-industry NEW 24 5.0K Д,Промышленные,3010,23,5000,Д,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 5.0K Г60,Промышленные,3036,23,5000,Г60,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 5.0K Г30,Промышленные,3008,23,5000,Г30,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 5.0K К15,Промышленные,3001,23,5000,К15,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 5.0K Д Duris,Промышленные,3010,23,5000,Д,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 4.0K Д,Промышленные,3010,23,4000,Д,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 4.0K Г60,Промышленные,3036,23,4000,Г60,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 4.0K К15,Промышленные,3001,23,4000,К15,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 4.0K Г30,Промышленные,3008,23,4000,Г30,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
L-industry NEW 24 4.0K Д Duris,Промышленные,3010,23,4000,Д,"Светодиодный светильник L-industry NEW 24 предназначен для освещения промышленных объектов, складов, подземных переходов, декоративной подсветки."
