,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
Street X1-53-Ш8М-4.0К-05,Уличные,9500,53,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-30-Ш8М-4.0К-05,Уличные,4860,30,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-68-Ш8М-4.0К-05,Уличные,12240,68,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-113-Ш8М-4.0К-05,Уличные,18000,113,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-55-Ш8М-4.0К-05,Уличные,7740,55,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-100-Ш8М-4.0К-05,Уличные,18000,100,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-48-Ш8М-4.0К-05,Уличные,7740,48,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-43-Ш8М-4.0К-05,Уличные,7740,43,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-95-Ш8М-4.0К-05,Уличные,15120,95,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-84-Ш8М-4.0К-05,Уличные,15120,84,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-115-Ш8М-4.0К-05,Уличные,20700,115,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-77-Ш8М-4.0К-05,Уличные,12240,77,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-60-Ш8М-4.0К-05,Уличные,9500,60,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-87-Ш8М-4.0К-05,Уличные,12240,87,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-35-Ш8М-4.0К-05,Уличные,4860,35,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-108-Ш8М-4.0К-05,Уличные,15120,108,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-120-Ш8М-4.0К-05,Уличные,19200,120,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
Street X1-27-Ш8М-4.0К-05,Уличные,4860,27,4000,Ш8М,"Светодиодный светильник Street X1 предназначен для освещения автомобильных дорог категорий А,Б,В (согласно СП 52.13330.2016), городских улиц, а также для внешнего освещения предприятий и торговых центров."
