,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
Superstreet 340 5.0К Ш23,Уличные,34304,310,5000,Ш23,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 4.0К Ш8,Уличные,34131,310,4000,Ш8,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 5.0К Ш7,Уличные,34565,310,5000,Ш7,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 5.0К Ш13,Уличные,36580,310,5000,Ш13,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 5.0К Ш8,Уличные,34131,310,5000,Ш8,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 5.0К Ш22,Уличные,34743,310,5000,Ш22,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 4.0К Ш23,Уличные,34304,310,4000,Ш23,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 4.0К Ш7,Уличные,34565,310,4000,Ш7,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 4.0К Ш22,Уличные,34743,310,4000,Ш22,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
Superstreet 340 4.0К Ш13,Уличные,36580,310,4000,Ш13,"Светодиодный светильник Super street 340 предназначен для освещения широких автомагистралей категории А, многополосных городских дорог, а также площадей. Super street 340 по световому потоку соответствует двум светильникам ЖКУ-250."
