FamilyTypeName,FamilyCategory,TypeDescription,FamilyName,Articule,ApparentLoad,LightFlux,TemperatureColor,PhotometricWeb,"Кп светового потока, %",CRI,"Длина, мм","Ширина, мм","Высота, мм","Масса, кг",IP,Вид клим. исполнения,"Тэксп. мин, °С","Тэксп. макс, °С","Uпит АС мин, В","Uпит АС макс, В","Uпит АС мин, В","Uпит АС макс, В","Коэф. мощности драйвера, ?",FamilyPath
L-office 32/30/Д/4.0К/02 Standart (металл),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,4000,Д,?1,85,591,591,45,3.5,30,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Standart EM (металл),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3900,4000,Д,?1,85,591,591,45,3.5,30,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Standart (металл),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,5000,Д,?1,85,591,591,45,3.5,30,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Standart EM (металл),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3900,5000,Д,?1,85,591,591,45,3.5,30,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Standart (пластик),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,4000,Д,?1,82,592,592,57,2.2,50,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Standart EM (пластик),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3900,4000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Standart (пластик),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,5000,Д,?1,82,592,592,57,2.2,50,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Standart EM (пластик),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3900,5000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Standart IP54 (металл),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,4000,Д,?1,85,591,591,45,3.5,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Standart IP54 (металл),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,5000,Д,?1,85,591,591,45,3.5,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
